dm-annihilation "Total Annihilation"
dm-babel "Tower of Babel"
dm-beyond-retro "Beyond Retro"
dm-bloodfactory "Blood Factory"
dm-crucible "Crucible of Death"
dm-deathray "Deathray Deluxe"
dm-dismal "Dismal Outpost"
dm-dred-retro "Dred Retro"
dm-dynamo "The Dynamo"
dm-extermination "Final Extermination"
dm-furious-retro "Furious Retro"
dm-gauntlet "Gauntlet Chasm"
dm-horus-retro "Horus Retro"
dm-leviathan "The Leviathan"
dm-neptune "Neptune's Lost City"
dm-omega-retro "Omega Retro"
dm-purgatory "Purgatory"
dm-turbo "Turbocharger"
dm-violator "The Violator"
dm-wasteland "The Wasteland"
tac-extermination "Final Extermination"
tac-impact "Deep Impact"
0
